,year,title,authors,country,location,study_area,rewilding_area,area_certain,area_all,m_e,keywords,interest,social-subgroup,control,sites,duration,methods_named,methods,response_variables_named,response_variables,social-subgroup-ev,notes
45,2024,Long-term vegetation responses to climate depend on the distinctive roles of rewilding and traditional grazing systems,"Rincon-Madroñero, M., Sánchez-Zapata, J.A., Barber, X. Barbosa, J.M.",Spain,"Sierras de Cazorla, Segura, and Las Villas Natural Park (Cazorla Natural Park)",NA,214300,NA,214300,E,"Shrub encroachment Transhumance Bayesian models NDVI Ecological succession Cultural landscapes",Plants,NA,YES,2,30,"Satellite imagery
NVDI time series
Climate data",Remote sensing,"NDVI
Trend in NDVI",Habitat structure,NA,"Control = comparison of sites where livestock can and cannot access 29 years = period covered for NDVI values extracted.
Area - whole area = 2143 ­ km2, actual study on two smaller areas within but area not described"
54,2019,Implications of Spatial Habitat Diversity on Diet Selection of European Bison and Przewalski's Horses in a Rewilding Area,"Zielke, L., Wrage-Mönnig, N., Müller, J. Neumann, C.",Germany,"Doeberitzer Heide close to Berlin (52◦30′43.7′′ N, 13◦01′43.5′′ E",1860,NA,1860,1860,M,"Diet European bison Przewalski’s horse Habitat classification Satellite imagery","Plants
Mammals",NA,NO,1,2,"Satellite imagery Direct observation
Habitat categorization (remote sensing)","Remote sensing
Fieldwork","Habitat classification
Habitat distribution
Spatial distribution of tree species
Spatial distribution of openland habitat Food selection
% habitat use for food selection
Potential habitat preferences","Habitat structure
Distribution
Behaviour",NA,
55,2018,Rewilding cultural landscape potentially puts both avian diversity and endemism at risk: A Tibetan Plateau case study,"Li, L., Tietze, D.T., Fritz, A., Lü, Z., Bürgi, M. Storch, I.",China,"Nyanpo Yutse Mountain lies in the southeast of the Sanjiangyuan Nature Reserve (33°–34° N, 99°–102° E)",4500,NA,NA,4500,ME,"Ecological restoration  Landscape heterogeneity Biodiversity Sanjiangyuan Alpine grassland Unmanned Aerial Vehicle",Birds,NA,NO,1,2,"Bird surveys Habitat mapping (UAV)","Fieldwork
Remote sensing","Species ID
Species abundance Species richness Species abundance x species diversity Endemic diversity
Endemic abundance
Avian diversity with horizontal habitat heterogeneity
Impacts of human land use on avian assemblage and landscape heterogeneity ","Distribution
Diversity
Habitat structure",NA,
61,2017,Rewilding the Atlantic Forest: Restoring the fauna and ecological interactions of a protected area,"Fernandez, F.A., Rheingantz, M.L., Genes, L., Kenup, C.F., Galliez, M., Cezimbra, T., Cid, B., Macedo, L., Araujo, B.B., Moraes, B.S. Monjeau, A.",Brazil,"Tijuca National Park, Rio de Janeiro",3953,NA,3953,3953,ME,"Alouatta Captive stock Dasyprocta Ecological interactions Refaunation","Mammals
Plants",NA,NO,1,7,"Mark-resighting Radio tracking
Field observation","Wildlife tracking
Fieldwork","Ecological interactions
Species interactions",Ecosystem,NA,"Species reintroductions 2010 to 2017 (red-humped agouti and the brown howler monkey) “Ecological interaction richness increased after the release of agoutis in the park”"
65,2016,Rewilding with large herbivores: Direct effects and edge effects of grazing refuges on plant and invertebrate communities,"Van Klink, R., Ruifrok, J.L. Smit, C.",Netherlands,"Oostvaardersplassen (N52260 , E5210)",100,5600,100,100,M,"Exclosures Null-model Beta-diversity Turnover Diversity Species richness","Plants
Invertebrates",NA,YES,1,3,"Grazing exclosure experiment
Plant community surveys Pitfall traps
Earthworm counts","Fieldwork
Experiment","Species ID
Species abundance
Species richness Community composition","Distribution
Diversity",NA,"Area = 100 ha actual survey area. 5600 ha nature reserve Duration = 3 years of plant community data, 1 year (final) of pitfall traps, earthworm counts, and wider plant surveys) Control explicit = 10 exclosures with adjacent controls."
67,2016,Rural abandoned landscapes and bird assemblages: winners and losers in the rewilding of a marginal mountain area (NW Spain),"Regos, A., Domínguez, J., Gil-Tena, A., Brotons, L., Ninyerola, M. Pons, X.,",Spain,Baixa Limia-Serra do Xure ́s Natural Park,29345,NA,NA,29345,ME,"Land abandonment Wildfire Species of European Conservation Concern Landsat imagery Co- inertia analysis Land-use policy",Birds,NA,NO,1,10,"Bird 5-min point counts Remote sensing","Fieldwork
Remote sensing","Land cover change
Change in occurrence rate of bird species
Changes in environmental composition","Habitat structure
Distribution",NA,
73,2023,Evaluating the performance of conservation translocations in large carnivores across the world,"Thomas, S., van der Merwe, V., Carvalho, W.D., Adania, C.H., Gomerčić, T., Krofel, M., Thompson, J., McBride Jr, R.T., Hernandez-Blanco, J., Yachmennikova, A. Macdonald, D.W.","USA Mexico Brasil
Paraguay
Iran
Russia
India
Tajikistan Indonesia
Slovenia
Croatia
Spain
Portugal
South Africa
Namibia
Rwanda
Zimbabwe Zambia Botswana Malawi Mozambique",NA,NA,NA,NA,NA,E,"Conservation translocation Ecological restoration Reintroduction Large carnivores Rewilding Reinforcement",Mammals,NA,NO,33,1,Literature review,Review,"Number of translocated individuals
% individual success rate (survival > six months)
% captive-born, period of captivity, and wild-born
% hard- and soft-release Effects of fence / origin / release / sex / age ",Species,NA,"Meta-analysis of 33 translocation projects of large carnivores Studies between 2007 and 2021, but this study done in 1 year"
75,2021,"Restoring a butterfly hot spot by large ungulates refaunation: the case of the Milovice military training range, Czech Republic","Konvička, M., Ričl, D., Vodičková, V., Beneš, J. Jirků, M.",Czech Republic,"Milovice military training range (50.26 N, 14.89E)",231,NA,231,231,M,"Bison bonasus
Bos taurus
Climate change
Equus caballus
Lepidoptera conservation
Life history traits
Temperate grassland
Trophic rewilding",Invertebrates,NA,YES,1,25,"Point surveys
Comparison with earlier data",Fieldwork,"Species ID Species richness Species abundance Species traits","Distribution
Diversity",NA,"Thing of interest = butterflies Control = refaunated and ‘neglected’ plots in study Duration of study = studies from 3 time points. ‘Early 1990s’, 2009, and 2016-19. The reference for the 1990s is dated 1994, so have used that as first point. = 25 years span Area = 106 ha in S site, 125 ha N site"
79,2023,Reintroducing bison to Banff National Park - an ecocultural case study,"Heuer, K., Farr, J., Littlebear, L. Hebblewhite, M.",Canada,Banff National Park,120000,NA,120000,120000,ME,"Rewilding Reintroduction Ecocultural Indigenous people Threatened species Plains Bison Bison bison bison","Mammals Social","Human-nature 
Culture",NO,1,11,"Consultation
Feedback solicitation Remote camera observation GPS collars
Cultural monitoring survey","Remote sensing
Wildlife tracking
Consultation","Bison movement
Population numbers
Herd demographics","Distribution
Behaviour",NA,"Duration = stakeholder feedback 2012-15, then phases of introduction until 2023 = 11"
83,2023,Intensive agriculture as the main limiting factor of the otter’s return in southwest France,"Couturier, T., Steinmetz, J., Du Rau, P.D., Marc, D., Trichet, E., Gomes, R. Besnard, A.",France,Midi-Pyr´en´ees region in southwest France,4534800,NA,NA,4534800,M,"Agriculture  Contagion process Detection probability Multi-season occupancy models Rewilding Eurasian otter",Mammals,NA,NO,1,10,Site surveys,Fieldwork,"Probability of initial occupancy Probability of colonisation",Species,NA,"Surveys years apart - survey 1 = 2003-2005, survey 2 = 2011-2012"
